Sample,DF1,DF2,DF3,DF4,DF5,DF6,DF7,DF8
F1a,2133.75,577.75,1256,734.5,1294.75,5883.75,2332.25,576.5
F1b,2129.75,499.75,1244.25,712,1251,6598.25,2100.5,573.75
0F4,2024.25,488.5,1201.5,700.5,1207.5,6476,1940,553.5
0F7,2323.5,577,1437.25,742.5,1366.25,6796.75,2305.75,612.75
0F9,2460.25,638.75,1510.75,770.75,1412,6756.75,2432,625.5
0F11,2463.75,630.75,1448.75,788.75,1407.75,6839.25,2438,630
0F12,2365.333333,580.6666667,1343.333333,776.3333333,1356.333333,6868.333333,2336.333333,606.6666667
0F14,2389.25,603.25,1376,782.5,1374.5,6769.75,2327.25,610
0F16,2412.333333,611.3333333,1395.333333,793.6666667,1383.666667,6785,2359,617.3333333
5F3,2252.5,608,1377.5,784.5,1345.25,6530.25,2422.75,609
5F5,2283.75,596.25,1400,787.5,1346.75,6675,2449.5,627.5
5F6,2210.25,565.75,1350.5,787,1326.25,6642.75,2350.25,619.5
5F7,2394,620.25,1515.25,799.5,1402.5,6929.25,2508.75,641
5F8,2348.75,586,1449,810.5,1371,6936.75,2433.5,631.5
5F9,2370.5,590.5,1462.25,807,1381.5,6958,2443.5,624
5F11,2430.5,627.75,1541.5,793.5,1415.25,7047,2469.5,639.5
10F4,2360.75,584.25,1319.5,797.5,1344.75,6891.5,2290.75,615.25
10F7,2258.5,546.75,1239.75,807.25,1294.25,6786,2184.75,593.25
10F9,1956.5,489,1083,743.25,1161,6249.75,1812.25,514
10F12,2036.5,486.75,1106,744.5,1184.25,6278,1941.25,531.5
10F14,2251.25,548.25,1289.25,736.5,1293.25,6346.25,2173,591
10F16,2192.25,521.25,1230,740.5,1255.5,6523.75,2105.75,577
10F18,2178.25,512.5,1200.25,763,1240.5,6576.5,2085.25,572.75
15F4,2279.75,545,1289.5,751.5,1297.75,6636.75,2187.75,601.25
15F6,2312,552.75,1318.5,764.75,1312.5,6576.75,2203.75,606.75
15F8,2308.5,549.75,1319.75,762,1309.75,6564.5,2201.75,603.75
15F11,2206.75,516.25,1224.75,774,1243.75,6563.75,2052.75,574.25
15F13,2037,500.5,1106.25,804.25,1187.25,6379.5,1816.25,548.25
15F16,2111.75,510.25,1128.75,807.75,1206,6479.75,1909.75,556.25
15F19,2096.75,516.5,1082.75,863.25,1186,6116.75,1924.25,537.5
20F3,2136.5,518.75,1165.5,815.25,1217.25,6473.5,1972.5,564
20F5,2247.5,549.25,1237.25,835.75,1283.25,6570,2095.75,595.5
20F7,2219.5,537.5,1218.25,836,1268.5,6589.5,2080.75,588
20F10,2285.5,561.25,1270.25,827.5,1306,6589.5,2151,603
20F13,1980.75,505.25,1079.25,851.25,1154,6116.75,1859.25,549.75
20F16,2183.3125,538.3125,1201.25,837.625,1252.9375,6466.4375,2046.6875,584.0625
